EMPID,NAME,ADDR,CITY,PHNO,EMAIL,DOB
E1027,KONIKA KAPOOR,"C2-431,SUPERTECH",NOIDA,8888909970,KK@YAHOO.CO.IN,10-10-1980
E1028,RAJAT SHARMA,"SECTOR 11 , POCKET 2",DELHI,9999999987,RS@GMAIL.COM,14-01-1989
E1029,ROHIT KAPOOR,"450 DLF ,PHASE 2",GURGAON,8880008800,RS01@GMAIL.COM,10-10-1988
E1030,KONIKA SHARMA,"DDA SFS FLAT,POCKET 2",DELHI,999900880,KS@YAHOO.CO.IN,10-10-1990
E1031,AVIKANT GUPTA,"B-305 ,DLF PHASE 2",GURGAON,9999009876,AG30@GMAIL.COM,10-10-1989
E1032,ROSHANLAL TIWARI,"1024,PALAM VIHAR 2",GURGAON,9999000099,RT31@YAHOO.CO.IN,05-10-1989
E1033,MONIKA KAPOOR,"A401 PRAGYA APARTMENTS,DWARKA SEC 3",DELHI,9900000212,MK32@YAHOO.CO.IN,01-01-1992
E1034,ANJAN SINGH,"A212/5 ,PALAM VIHAR 5",GURGAON,9912340090,AS32@YAHOO.COM,07-10-1989
E1035,MANOJ TIWARI,"B-402,PALAM VIHAR -2",GURGAON,9999999087,MT34@YAHOO.CO.IN,05-10-1990
E1036,ROBERT,"267,UDYOG VIHAR 2",GURGAON,9999000011,RBT@YAHOO.CO.IN,15-10-1989
E1037,MIKE,"C2-141,VASANT VIHAR",DELHI,8800000078,MIKE@YAHOO.COM,21-10-1989
E1038,RAJAT MAHAJAN,"B321 POCKET 1,SECTOR 62",NOIDA,9899654540,RM@YAHOO.CO.IN,04-12-1991
E1039,ROHIT GUPTA,"4219 POCKET 2,SECTOR 15",NOIDA,9899600041,rg@YAHOO.CO.IN,05-12-1991
E1040,SAMEER SHARMA,"B401 JYA MAA APT,SECTOR 5 DWARKA",DELHI,9899600099,SS@GMAIL.COM,01-01-1990
E1041,DEEPANKAR SHARMA,"302/2 ,RAJPUR ROAD",DEHRADUN,9999008987,DS@GMAIL.COM,05-04-1991
E1042,AKHILESH MUNJAL,"B101 ,PACHIM VIHAR",DELHI,9999008111,AM@GMAIL.COM,05-05-1991
E1043,GAGAN KAPOOR,"C2/15,JANAK PURI",DELHI,9877687657,GK@GMAIL.COM,10-10-1989
E1044,GAGAN KAPOOR,"C2/15,PALAM VIHAR",GURGAON,9877000657,GK01@GMAIL.COM,10-10-1991
E1045,RAJAT SHARMA,"A101,RAJPUR ROAD",DEHRADUN,9888786540,RS@GMAIL.COM,10-05-1991
E1046,KOMAL KAPOOR,"B2-101 ,SECTOR 62",NOIDA,9888221140,KK@GMAIL.COM,10-12-1991
E1047,MANIK NARULA,"B301,SECTOR 2",NOIDA,9888767567,MN@GMAIL.COM,15-01-1992
E1048,MOHIT SHARMA,"A4/32,SECTOR 16",NOIDA,9111000567,MS01@GMAIL.COM,12-05-1992
E1049,RAVINDER KAPOOR,"B302 PRAGYA APT,SECTOR 2 DWARKA",DELHI ,9111000111,RK01@GMAIL.COM,12-12-1994
E1050,ABHAS KUMAR SHARMA,"A61,SECTOR 2",NOIDA,7677567690,AS50@YAHOO.CO.IN,01-01-1997
E1051,RONITA,"C4/104,JANAK PURI",DELHI,767756111,RONI@YAHOO.CO.IN,01-01-1999
E1052,MAHENDER SINGH,"B62 ,SECTOR 2",NOIDA,9899099098,MS52@OUTLOOK.COM,04-01-1984
E1053,Ainul,"DLF PHASE 2,SECTOR 5",GURGAON ,9818009010,AI53@OUTLOOK.COM,04-01-1980
E1054,RANJITA SHARMA,"POCKET 2,SECTOR 13 DWARKA",DELHI,9999898870,RA54@OUTLOOK.COM,01-10-1998
E1055,ASHUTOSH KUMAR,"B2/204,JANAK PURI WEST",DELHI,9991111170,AK55@OUTLOOK.COM,01-10-1998
E1056,RAJEEV SHARMA,"B203 STREET NO 6,RAJEDER NAGAR ",DEHRADUN,9787756760,RS56@OUTLOOK.COM,12-12-1998
E1057,ABHINAV GHOSH,"HNO 305,SECTOR 15",DEHRADUN,9787777700,AG57@OUTLOOK.COM,01-01-1998
E1058,PUMMY SINGH,"TEACHERS COLONY,SECTOR 17",CHANDIGARH,9899675470,PUM58@OUTLOOK.COM,01-01-1999
E1059,AMAN MUDGAL,"B502 - POLICE COLONY,PRETAMPURA",DELHI,9999787860,AM59@GMAIL.COM,10-10-1989
E1060,GAURAV GUPTA,"HOUSE NO  305,RAJENDER PARK",DEHRADUN,9999008989,GG61@GMAIL.COM,01-01-1987
E1061,RAGHUVEER SINGH,"B72/3 TEACHERS COLONY,SECTOR 25",CHANDIGARH,9899787870,RS61@OUTLOOK.COM,01-10-1997
E1062,ABHISHEK KUMAR,"4231,DLF PHASE 3",GURGAON,9899781111,AK62@OUTLOOK.COM,03-12-1999
E1063,GAGAN KAPOOR,"256 UDYOUG VIGAR,SECTOR 12",GURGAON,9999808070,GK63@OUTLOOK.COM,10-10-1998
E1064,RAJ KUMAR,"HNO 120 LANE 6,SECTOR 12",CHANDIGARH,9899898980,RK64@GMAIL.COM,12-12-1989
E1065,SANDEEP SHARMA,"SECTOR 32,GEETA COLONY",CHANDIGARH,9899898970,SS065@GMAIL.COM,25-12-1989
E1066,ABHISHEK BHIST,"HNO 420, SIDDHARTH COLONY,GORE GAON",MUMBAI,9899898909,AB66@OUTLOOK.COM,01-01-1998
